title,description,label
Spent 7 years in creating new UP of new India: Yogi Adityanath,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
Lucknow to host five IPL matches in Phase 2,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
"Facial Recognition: Drones With Facial Recognition, 10-hr Flying Power To 
Guard City | Lucknow News",10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
"From Apr 1, no offline permits for protests",10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
"UP roadways bus driver bites ear, finger of passenger",10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,2
"Property worth Rs 113 crore belonging to jailed don turned politician Vijay 
Mishra attached","Highly responsive to unfolding developments. Reports on crime, and terrorism in UP and also probes by National Investigation Agency (NIA), Central Bureau of Investigation (CBI), Enforcement Directorate (ED), Economic Offences Wing (EOW) Narcotics Control Bureau (NCB) in Uttar Pradesh.Read More 10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari",1
"Over 1,000 revellers land up in hospital on Holi day",10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,2
Banker among eight booked in fraud case,10 classic baby names that are making a comeback 8 light yet healthy snacks for a speedy weight loss 8 house rules that every parent should teach their child How to make South Indian Lemon Coconut Rice at home How to make South-Indian style Mutton Curry 10 quickest animals that race across the Earth ​10 things mentally strong people do​ Educational qualifications of Mughal rulers Navya Naveli on how the Bachchan household has dishes named after people Fitness secrets of new bride Aditi Rao Hydari,0
"Lucknow Super Giants IPL Cricket Team- Latest Lucknow Super Giants IPL 
Squad along with latest T20, ODI and Test ...",,1
"Lucknow UP Roadways Bus Conductor, Driver Bite Passengers Ears And Fingers 
After Dispute Over Seat Arrangements","Driver Sharan Mishra and conductor Mohammed Riyaz have been taken into custody, according to SHO, Wazirganj, Dinesh Mishra. The UPSRTC has also acknowledged the occurrence and sent a notice to the two persons. A dispute over seating arrangements on a UP Roadways bus in Lucknow got worse when the driver and conductor bit a passenger's ear and finger. The passenger, who was identified as Kuldeep Kumar of Sidhauli in Sitapur, lost a gold chain, a section of his ear, a portion of his left hand's little finger and Rs 19,600 during the incident on Thursday. ""I boarded the bus number (UP34-T9813) going to Biswan in Sitapur from the Kaiserbagh bus station Lucknow and sat on a seat. However, the conductor asked me to take another seat. When I asked the reason, he instructed me to get off the bus. This snowballed into a verbal spat. Later, the driver and their aides started beating me. One of them then bit my ears. The outer layer of the ear got severed. They also bit my little finger on my left hand and other body parts. My gold chain and Rs 19,600 that I was carrying with me was also looted,"" he alleged. However, he was able to escape the scene and save his life. Driver Sharan Mishra and conductor Mohammed Riyaz have been taken into custody, according to SHO, Wazirganj, Dinesh Mishra. The UPSRTC has also acknowledged the occurrence and sent a notice to the two persons. Also Read: At Least 45 People Killed After Bus Carrying Easter Worshippers Falls Off Cliff In South Africa In a separate incident, two pickpockets were caught stealing mobile phones on a DTC bus. As soon as passengers released what the men were doing, a brutal reaction erupted as they began to thrash the pickpockets. A video of the same was shared online and went viral. The video was shared on the social media platform X (formerly Twitter), by the handle ‘Arhant Shelby’. The video was reshared on the handle ‘Ghar ke kalesh’, with the caption, “Kalesh inside DTC bus over the guys who were getting beaten by the public was got Caught Stealing mobile phone.” ""I boarded the bus number (UP34-T9813) going to Biswan in Sitapur from the Kaiserbagh bus station Lucknow and sat on a seat. However, the conductor asked me to take another seat. When I asked the reason, he instructed me to get off the bus. This snowballed into a verbal spat. Later, the driver and their aides started beating me. One of them then bit my ears. The outer layer of the ear got severed. They also bit my little finger on my left hand and other body parts. My gold chain and Rs 19,600 that I was carrying with me was also looted,"" he alleged. However, he was able to escape the scene and save his life. Driver Sharan Mishra and conductor Mohammed Riyaz have been taken into custody, according to SHO, Wazirganj, Dinesh Mishra. The UPSRTC has also acknowledged",2
"Underscoring the importance of protection, SBI Life & Lucknow Super Giants 
Unveil the spectacular Larger-Than-Life ...",,1
Lucknow Metro To Operate Till Midnight On IPL Match Days,"Lucknow, March 29 (TNA) In good news for cricket lovers, to facilitate the Indian Premiere League (IPL) spectators going to Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow Metro trains will operate till 12:30 a.m. (at night) on all IPL match days in Lucknow, an official said on Friday. The last metro trains will depart at 12:30 a.m. from CCS Airport Metro Station and Munshipulia Metro Station on March 30 (LSG vs PBKS), April 7 (LSG vs GT), April 12 (LSG vs DC), April 19 (LSG vs CSK), April 27 (LSG vs RR), April 30 (LSG vs MI) and May 5 (KKR vs LSG) Lucknow Metro has also tied- up with Lucknow City Transport Services to provide feeder buses for to and fro journey between Transport Nagar and Ekana Stadium and return journey from Ekana Stadium to Indiranagar Metro Station at night. Feeder buses will be available from Transport Nagar Metro to Ekana Stadium and return from Ekana to Transport Nagar and from Ekana Stadium to Indiranagar Metro Station since 9:30pm till midnight. Lucknow Metro has also launched a photo contest where 2 Lucknow Super Giants standees have been kept at Hazratganj and Charbagh Metro Stations. MD UPMRC Sushil Kumar said, “This is the 2nd consecutive year when we are offering this facility of Midnight metro to provide a safe travel to every cricket enthusiast who is going to watch the IPL matches in the stadium. Our entire team is committed to make your match going experience hassle-free. I therefore urge you all to avail this service to make your IPL moment even more memorable.” Media Corps",0
"Punjab Kings XI Receive Grand Welcome at The Centrum Lucknow Ahead of their 
IPL clash","Lucknow: A buoyant Punjab Kings XI team reached at the five star hotel The Centrum Lucknow with a grand welcome in a traditional Punjabi style on Wednesday. Upon their arrival at the Centrum Hotel, the IPL team from Punjab received welcome drinks amid dhol, nagada and Punjabi music. Punjab will lock horns with host Lucknow Super Giants on March 30 at Ekana International Cricket Stadium. After welcoming the team an excited Sarvesh Goel, the Chairman of Mansingh Goel Group and promoter of The Centrum, said that it is an honour for us to welcome the Punjab Kings XI team. Mr Goel said, ''The Centrum Lucknow is famous for its hospitality. Punjab Kings XI will receive an unforgettable welcome and great hospitality. The Hotel has decided to serve the team both Punjabi and Lucknowi food. So that the Punjab Kings team can also taste Awadhi dishes.'' Mr Goel said to make players feel something different, a special tray welcoming Punjab team has been placed in every room. This hotel is heaven for players. During the ICC World Cup last year, England players stayed here. That time it was winter season, hence the players enjoyed indoor games like squash etc. Now in summers, players will enjoy swimming a lot and for this there is a wonderful swimming pool in the hotel. Overall, one who stops here once comes again and again. Apart from the Punjab team, some bowlers of the Lucknow Super Giants team are also staying in the hotel and everyone is enjoying our hospitality. This is not the first time that The Centrum has been a part of something big in the Uttar Pradesh capital. The Hotel has the honour of welcoming guests during marquee events of G20, Global Investors Summits and Ram Mandir Pran Partistha Ceremony. During the G20 event, Amitabh Kant, the sherpa of the event, has also choose to stay in the Centrum Lucknow. He even praised the hotel's hospitality during his stay. On the question of preparedness of the hotel during the cash rich Indian Premier League, Sarvesh Goel said, ""The Centrum is always ready to provide excellent service to its guests. We have given the best hospitality to everyone from the G20 participants to the players of the England Cricket World Cup team. I feel the choice of our customers and best hospitality has played an important role in achieving the five-level hotel rating in a city like Lucknow, and we will continue to be known for our excellent services. The Centrum is the first choice for every guest coming to the Lucknow for any big event.'' This hotel has left its mark in the country and the world in a very short time. UP Chief Minister Yogi Adityanath has also praised this hotel and its hospitality. During an event, Yogi had said that Centrum is one of the most successful products of the Global Investors Summit. The Centrum, Lucknow was built in the year 2021. The Lucknow's very owned Five Star hotel is a",1
"LSG vs PBKS Playing 11, IPL 2024: Extra spinner for Lucknow, Stoinis 
remains; Bairstow in focus for Punjab","Lucknow Super Giants vs Punjab Kings Playing 11, IPL 2024: LSG will play their first home game of the IPL season in match 11 against PBKS at the Ekana Cricket Stadium in Lucknow on Saturday. While Rahul’s men have started with a defeat, Dhawan’s Punjab have witnessed see-sawing fortunes already with a win and a defeat to Royal Challengers Bengaluru away. A return to Lucknow will prove to be tricky for the home side as well as the visitors with the sluggish nature of the track setting up a test of the skills and composition of both teams. READ: KL Rahul has a strike rate problem Extra spinner in for Lucknow? LSG will have quality spinners in Krunal Pandya and Ravi Bishnoi at their disposal in the XI. But with a couple of left-handers in the opposition batting order and the slow nature of the Lucknow strips, Lucknow may add an off-spinner into the XI. K Gowtham could get a nod with one of the local batters featuring as an Impact Player. Stonis to retain spot With his form hitting rock bottom, Marcus Stoinis has also witnessed a snub from Australia’s central contracts for the upcoming season. However, the sturdy all-rounder could be explosive on his day and will continue to play an important part in LSG’s combinations. LSG predicted XI: KL Rahul (c), Quinton de Kock, Devdutt Padikkal, Nicholas Pooran, Deepak Hooda, Krunal Pandya, Marcus Stoinis, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan, Yash Thakur. Impact Player: Ayush Badoni/K. Gowtham Raza for Bairstow? Opening for Punjab, Jonny Bairstow has failed to click in both games, scoring 9 and 8 respectively. Instead, PBKS could bring in an extra spinner-allrounder in Sikandar Raza to replace Bairstow for this particular contest, adding strength to the middle-order. Prabhsimran Singh could move up the order to replace Bairstow as captain Dhawan’s opening partner. PBKS predicted XI: Shikhar Dhawan (c), Prabhsimran Singh, Sikandar Raza, Liam Livingstone, Sam Curran, Jitesh Sharma (wk), Shashank Singh, Harpreet Brar, Kagiso Rabada, Harshal Patel, Rahul Chahar. Impact Player: Arshdeep Singh LSG vs PBKS Full Squads: Lucknow Super Giants: KL Rahul (c), Quinton de Kock, Nicholas Pooran, Ayush Badoni, Kyle Mayers, Marcus Stoinis, Deepak Hooda, Devdutt Padikkal, Ravi Bishnoi, Naveen-ul-Haq, Krunal Pandya, Yudhvir Singh, Prerak Mankad, Yash Thakur, Amit Mishra, Shamar Joseph, Mayank Yadav, Mohsin Khan, K. Gowtham, Shivam Mavi, Arshin Kulkarni, M. Siddharth, Ashton Turner, David Willey, Mohd. Arshad Khan. Punjab Kings: Shikhar Dhawan (c), Jonny Bairstow, Harpreet Singh Bhatia, Prabhsimran Singh, Rilee Rossouw, Jitesh Sharma, Sam Curran, Rishi Dhawan, Liam Livingstone, Shashank Singh, Shivam Singh, Sikandar Raza, Atharva Taide, Chris Woakes, Arshdeep Singh, Rahul Chahar, Nathan Ellis, Harpreet Brar, Vidhwath Kaverappa, Harshal Patel, Kagiso Rabada, Prince Choudhary, Ashutosh Sharma, Vishwanath Singh, Tanay Thyagarajan. Get latest updates on IPL 2024 from IPL Points Table to Teams, Schedule, Most Runs and Most Wickets along with live score updates for all matches. Also get Sports news and more cricket updates.",1
Sehri during holy month of Ramzan: A divine meal before dawn!,"Subscribe Now! Get features like The ritual of sehri (pre-dawn meal), be it at home dastarkhwan or a food joint table in the Old City brings along a whole some meal before the fajr (morning) prayers and sets the stage for a long fast ahead. Sehri, also known as Suhur, has a religious and cultural significance during the holy month of Ramzan. We find out where and how the city folks are keeping up with the tradition. Joints that are functionable for sehri purpose are witnessing a good turnout of rozedars till wee hours. “At our new joint, opposite Chota Imambada, we have introduced qeema-poori, aloo-poori and the hot favourite being halwa-poori that remains the best pick for all. Our novelty item crispy chicken with a cup of masala chai still rules for both old and young set of rozedars for sehri,” says Wamesh Cafe owner Sheeraz Manzar. For some, sehri is about celebrating togetherness. “Iftar functions are held at several places but sehri get-togethers are becoming the trend of the day. Unlike iftar, it’s not a social affair but close relatives and friends do come over or invite sehri. Otherwise, it’s more about being with family for the first meal,” says businessman Sufiyan Siddiqui, who is planning a sehri get-together during the weekend. Healthy food, which comprises fibers, carbs, protein and water are preferred before fasting which keeps rozedars hydrated during the day. “Just before Ramzan, we revamped our menu and added a few items for sehri and iftar (evening meal to break the fast). What people prefer for sehri is very different. It’s much more on the healthier side — easy to digest and less in quantity. Placed in Hazratganj, we close at 12am, but our home delivery continues till sehri during Ramzan. Shakes, fresh juices, summer salads and baked vegetable platters are high in demand for sehri,” informs Sicily Cafe owner Saif Saleem. Working at a heritage hotel in Lucknow, Chef Mohsin Qureshi enjoys his midnight outings with his gang of friends throughout Ramazan. “A bike ride to Old City heritage locations, Kashmiri chai and sehri at Akbari Gate is a routine in Ramzan. We try different dishes every time and the best ones are often repeated. So, after sehri with friends we reach home and have a quick bite with family before heading for prayers to start the fast,” says Qureshi. S Farah Rizvi writes on Bollywood, OTT, television and culture for the daily Entertainment & Lifestyle supplement, HT City. ...view detail Deep Saxena writes on Bollywood, OTT, television, food and culture for the daily Entertainment & Lifestyle supplement, HT City. ...view detail",1
3 women among 4 illegal immigrants arrested,"Subscribe Now! Get features like LUCKNOW The UP Anti-Terror Squad (ATS) arrested four illegal Rohingya immigrants, including three women, travelling to Delhi in a train on fake identity proofs, said senior ATS officials here on Thursday. They said the four had been booked for fraud, forgery and under sections of Foreigners Act in the FIR lodged with the ATS police station . Sharing a press note with the media, officials informed that the accused were identified as Aamir Hamza (21), Meena Jahan (19), Aonara Begum (19) and Sukura Begum (22), all originally from Myanmar’s Buthidaung. They said the accused entered India via Bangladesh and reached Silchar, Assam from where they boarded the train to reach New Delhi. The officials said they were intercepted in Lucknow while moving on train and brought to the ATS headquarters on Thursday where they were arrested after finding that they had illegally entered India and had forged identity proofs to pose as Indian citizens and settle in different parts of the country after reaching New Delhi. They said the accused were being further questioned about their intentions to enter the country and to find out about the network involved in facilitating illegal immigrants to enter India and prepare their fake identity proofs to help them live in different parts of the country.",0
"Mercury Climbs In Uttar Pradesh, Weatherman Predicts Of A Gruelling Summer 
Ahead","Lucknow, March 29 (TNA) After a prolonged winter, summer finally seems to have set in most parts of the state. May-like conditions have already been witnessed in March and mercury has crossed 40 in Agra and Prayagraj. The Met Office has forewarned of a gruelling summer ahead. After Holi, the weather changed suddenly in the state and temperatures across the state have climbed in the last few days. The temperature in the state has reached higher than normal levels and is gradually crossing 40 degrees Celsius. On Thursday, the maximum temperature of the day was highest in Agra, where the mercury was recorded at 40.8 degrees Celsius. Whereas in Prayagraj it reached 40 degrees. A warning of thunderstorms, rain and lightning has been issued in western Uttar Pradesh for the next three days. Showers may also occur in some areas of eastern Uttar Pradesh. The areas for which warnings of lightning and storms have been issued include Saharanpur, Shamli, Muzaffarnagar, Baghpat, Meerut, Ghaziabad, Hapur, Gautam Buddha Nagar, Amroha, Moradabad and surrounding areas. The weather is expected to deteriorate in these areas on March 29 and 30. The night was the hottest in Fatehgarh, where the minimum temperature was 24.2 degrees. Reached 22 degrees in Aligarh-Agra-Orai-Hardoi. It was 15 degrees in Ayodhya, more than this was recorded in other areas. The areas where the weather is expected to deteriorate on March 31 include Banda, Chitrakoot, Kaushambi, Fatehpur, Kanpur Dehat, Kanpur Nagar, Saharanpur, Shamli, Muzaffarnagar, Baghpat, Meerut, Ghaziabad, Hapur, Gautam Buddha Nagar, Bulandshahr, Agra, Firozabad, Mainpuri, Etawah, Auraiya, Bijnor, Amroha, Moradabad, Rampur, Bareilly, Pilibhit, Sambhal, Hamirpur, Mahoba, Jhansi, Lalitpur and surrounding areas. Media Corps",2
"LSG vs PBKS IPL 2024 Tickets Online Booking: How to book tickets for Punjab 
Kings vs Lucknow Super Giants in ...","LSG vs PBKS IPL 2024 Tickets Online Booking: The much-awaited clash between the Lucknow Super Giants (LSG) and the Punjab Kings (PBKS) in the Indian Premier League (IPL 2024) is just around the corner. Cricket enthusiasts are gearing up for an exciting T20 encounter that promises high-octane action, star-studded lineups, and nail-biting moments. If you’re eager to witness this battle live at the Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium in Lucknow, here’s how you can secure your tickets. Step 1. Visit BookMyShow: Go to the BookMyShow website or open the BookMyShow app (in.bookmyshow.com/sports/lucknow-super-giants-vs-punjab-kings/ET00390973) on your mobile device. Step 2. Select “Cricket”: Navigate to the sports section and choose “Cricket”. Step 3. Choose the Match: Look for the LSG vs PBKS IPL 2024 match in the list of upcoming cricket events. Click on it to proceed. Step 4. Select Seats: Choose your preferred seats from the available options. You can view the stadium layout and select the seats that suit you. Step 5. Review and Confirm: Review your selection and proceed to the next step. Step 6. Login or Sign Up: If you haven’t already, log in to your BookMyShow account or sign up for a new account. Step 7. Payment and Confirmation: Complete the payment process to secure your tickets. Once done, you’ll receive a confirmation email or SMS with your ticket details. Step 1. Visit Paytm Insider: Go to the Paytm Insider website. Step 2. Select Your Location: Choose Chandigarh as your location. Step 3. Navigate to PBKS Section: Look for the Punjab Kings’ IPL 2024 section and click on “Buy Now.” Step 4. Choose Your Seats: Select your preferred seats for the match and add them to your cart. Step 5. Ticket Delivery Options: You can choose between picking up tickets from the box office or having them delivered. Step 6. Complete the Purchase: Proceed to payment and complete the booking process. Step 7. Enjoy the Match: Get ready to cheer for your favorite team at the stadium! To book IPL 2024 tickets offline for the Lucknow Super Giants (LSG) vs. Punjab Kings (PBKS) match, follow these steps: Step 1. Visit the Stadium: Go to the stadium where the match will be played. You’ll find booking counters at the venue. Step 2. Purchase Tickets: At the booking counter, inquire about ticket availability for the specific match. Choose your preferred seating category and purchase the tickets in person. Step 3. Payment: Pay for the tickets using cash or any other accepted payment method. Step 4. Enjoy the Match: Once you have your tickets, get ready to cheer for your favorite team at the stadium! The Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, formerly known as the Ekana International Cricket Stadium, is an international cricket stadium located in Lucknow, India. It has a seating capacity of 50,000 and is the fifth largest international cricket stadium in India. The stadium was renamed in honor of India’s 10th Prime Minister, Atal Bihari Vajpayee, in 2018. ADVERTISEMENT Home",1
