Title,Description,Labels
Man kills wife's lover after 8 yrs of elopement,"India News: For eight years, a man waited to exact revenge after his wife eloped with a neighbour.",1
Haryana police book 10 persons over gang rape charges in Jind district,India News: JIND:Women police have booked 10 persons over a case of gang rape in Haryana's Jind district on Tuesday.,1
Baseless allegations on civil service officials: Minister Botsa,"India News: VISAKHAPATNAM: The Education Minister and Cheepurupalli YSRCP candidate, Botsa Satyanarayana, alleged that Prasanth Kishore’s team leveled baseless al.",1
"JNUSU polls: ABVP, Left in neck-and-neck battle",India News: NEW DELHI: The RSS affiliated Akhil Bharatiya Vidyarthi Parishad (ABVP) and the United Left outfits are locked in neck-and-neck fight for the central .,1
Himachal BJP lodges complaint with Election Commission over remarks against Kangana Ranaut,India News: SHIMLA: BJP’s Himachal Pradesh Unit has lodged a complaint against Congress and its leaders including Supriya Shrinate and H S Ahir for their alleged .,1
Female leopard found dead in Pandalur forest range,India News: UDHAGAMANDALAM: A six-year-old female leopard was found dead in the Pandalur range of forest in the Gudalur division in the Nilgiris on Monday.,1
Assam: MLA Bharat Narah quits Congress after wife fails to get Lok Sabha ticket,"India News: GUWAHATI: Bharat Chandra Narah, the MLA of Naoboicha in Assam's Lakhimpur district, resigned from the Congress on Monday after his wife failed to get .",1
Congress's electoral hesitation: Is nomination of Ajay Rai against Modi in Varanasi a sign of reluctance to win Lok Sabha polls?,"India News: NEW DELHI: Congress, which dominated the political landscape of Uttar Pradesh for decades, has been pushed to the fringes of state politics in recent .",1
Bihar's rich culture celebrated to in Malaysia,"India News: The vivacity of Bihar presented in the form of a colourful extravaganza of the state’s art and craft, the folk music, the impressive cultural exhibiti.",1
"Given political will, aerospace power can be effectively used beyond enemy lines: IAF chief","India News: NEW DELHI: Air Chief Marshal V R Chaudhari on Wednesday said that ""Balakot-like operations"" have shown that given political will, aerospace power can .",1
"Lok Sabha polls: PM Modi, Amit Shah among 40 star campaigners of BJP in Bihar","India News: PATNA: Prime Minister Narendra Modi, home minister Amit Shah and UP CM Yogi Adityanath are among the 40 star campaigners who would canvass for the BJP.",1
"K Kavitha allegedly conspired with Kejriwal, Sisodia, other AAP leaders for favours in Delhi Excise policy formulation, paid Rs 100cr, claims ED",India News: NEW DELHI: Bharat Rashtra Samithi (BRS) MLC K Kavitha allegedly conspired with the top leaders of Aam Aadmi Party (AAP) including Arvind Kejriwal and .,1
10 injured in Assam varsity clash over CAA,India News: GUWAHATI: At least 10 students of Gauhati University were injured in a scuffle on Monday triggered by an anti-CAA protest on campus that coincided wit.,1
Pashupati Paras resigns from Union cabinet after NDA-Chirag Paswan seal deal for Bihar,"India News: Rashtriya Lok Janshakti Party president Pashupati Kumar Paras resigns from NDA cabinet post BJP's Bihar seat allocation, citing dissatisfaction with g",1
"Harsh weather, tough terrain posed hurdles: BRO DG",India News: SELA PASS: Border Roads Organisation (BRO) chief Lt Gen Raghu Srinivasan said constructing the world’s longest two-way tunnel was very challenging due.,1
Piracy sites pose bigger threat of malware infection than adult sites to Indian consumers: ISB study,India News: HYDERABAD: More than adult websites or gambling advertisements it is piracy websites that pose the highest risk of malware infection to Indian consume.,2
Hero of 1971 Indo- Pak war & former Navy chief Admiral Ramdas dies at 90,India News: HYDERABAD: Hero of 1971 Indo-Pak war and former Chief of Naval Staff Admiral L Ramdas passed away at the Military Hospital in Secunderabad early Frida.,1
Isro's project team for rocket to build space station ready,"India News: India's biggest rocket - with reusable parts - critical to building the country's own space station and eventually sending Indians to the Moon, is not.",1
'Shocking but that is expected': Kapil Sibal on J&K Assembly polls to be held after Lok Sabha polls,"India News: NEW DELHI: After the announcement by the Election Commission to hold Jammu and Kashmir polls after the Lok Sabha elections, Senior Advocate Kapil Siba.",1
"Congress says it has received fresh I-T notices of over Rs 1,800 crore","India News: NEW DELHI: The Congress on Friday said it has received fresh notices from the income-tax department, asking it to pay Rs 1,823.",1
6 more months of Afspa in certain districts of Nagaland,"India News: Centre extends Afspa in 8 districts and 21 police stations in Nagaland till Sep 30, 2024, under Armed Forces Act to maintain law and order.",1
Group of 600 prominent lawyers seeks CJI help to contain attempts to undermine judiciary selectively,India News: NEW DELHI: Expressing concern over attempts to undermine the judicial integrity by selective criticism and praise of the judiciary specially in cases .,1
Scribes 'trade blows' while covering DKS bro's event,India News: RAMANAGARA: Two journalists associated with news agencies filed a complaint and counter-complaint accusing each other of assault and abuse at Ramanaga.,1
"Parul University's Pharmacy Program shines in NIRF 2023 rankings, secures 53rd position","India News: Parul University, a leading institution dedicated to academic excellence and innovation, proudly announces its outstanding performance in the National.",1
Heir-style: Dynasties new norm in Tamil Nadu as scion battles scion,India News: CHENNAI: The deeply rooted dynasty politics has become a new normal in Tamil Nadu where scions continue to influence and shape the political landscape.,1
"US Senator asks social media companies about preparations for elections in India, other nations",India News: WASHINGTON: An influential American Senator on Friday asked the US social media companies as to what preparations they have made for elections in Indi.,1
Huge rally to feature INDIA leaders at closing of Rahul Gandhi's Nyay Yatra: Nana Patole,"India News: MUMBAI: With Rahul Gandhi's Bharat Jodo Nyay Yatra nearing its end in Maharashtra, a massive rally has been planned on Sunday at Mumbai's Shivaji Park.",1
Nandyal stares at an unprecedented water crisis at the very beginning of this summer,India News: TIRUPATI: Nandyal district in the perennially drought prone Rayalaseema region of the state is staring at an unprecedented water crisis at the very be.,2
"Delhi court directs Tihar jail authorities to provide electric kettle, table, chair to Kejriwal","India News: NEW DELHI: A Delhi court on Wednesday directed Tihar jail authorities to provide an electric kettle to Chief Minister Arvind Kejriwal in view his ""med.",1
"People will vote for BJP if Article 370 abrogation made them happy, says NC's Omar Abdullah",India News: SRINAGAR: National Conference leader Omar Abdullah on Thursday said people should vote for the BJP if they are happy with the abrogation of Article 37.,1
BJP leader Om Birla to file nomination for Lok Sabha polls today; expresses confidence to win 3rd time,"India News: KOTA: Before filing the nomination from Rajasthan's Kota constituency on Wednesday, Lok Sabha Speaker and BJP leader Om Birla expressed confidence in .",1
"After NCP (Sharad Pawar) declared candidate from Bhiwandi, Congress leader threaten friendly fight",India News: Bhiwandi: Sharad Pawar's NCP finally releasing its second list made candidate to Suresh Mahatre alias Balya Mama from Bhiwandi Lok Sabha seat.,1
Cong manifesto says it will bring law to recognise civil unions between couples belonging to LGBTQIA+ community,"India News: NEW DELHI: In a significant development in the poll season, both Congress and CPI (Marxist) through their manifestos for Lok Sabha elections have brou.",1
Baramati battle not Pawar versus Pawar but between Modi and Rahul Gandhi: Devendra Fadnavis,India News: PUNE: The Lok Sabha battle in Baramati is not between opposition stalwart Sharad Pawar and Ajit Pawar but between Prime Minister Narendra Modi and Con.,1
BJP names candidates for 2 more Lok Sabha seats in Bengal,India News: KOLKATA: The BJP on Saturday announced candidates for the Jhargram (ST) and Birbhum Lok Sabha seats on Saturday night.,1
"Chennai South Lok Sabha election 2024: Date of voting, result, candidates, main parties, schedule",India News: Chennai South Lok Sabha Constituency in Tamil Nadu is a political powerhouse renowned for its significant influence in politics.,1
Times of India's Right to Excellence Summit shines a light on healthcare on World Health Day,"India News: NEW DELHI: As we approach World Health Day, Times of India's esteemed platform, Right to Excellence, is proud to announce its 9th event, the 'Health S.",1
"'I get offers from other political parties, they ask why taking so long...': Robert Vadra indicates keenness to contest LS polls","India News: NEW DELHI: Spelling out his interest to contest the Lok Sabha polls, Robert Vadra, businessman and husband of Congress leader Priyanka Gandhi, has sai.",1
Bank fraud: ED attaches assets of Madhya Pradesh-based newspaper publishing company,India News: NEW DELHI: The Enforcement Directorate on Thursday said it has attached assets worth more than Rs 2 crore of a Madhya Pradesh-based newspaper publishi.,1
PM Modi flags off poll campaign in MP with mega rally in Jabalpur,"India News: BHOPAL: Prime Minister Narendra Modi started his poll campaign in MP with a mega roadshow at Jabalpur, also known as ""Sanskardhani '' of Madhya Prades.",1
Man held for molesting four-year-old girl,India News: MUMBAI: A man in his thirties was arrested by the Malwani police for molesting a four-year-old girl at his residence.,1
"Saharanpur constituency of Uttar Pradesh Lok Sabha Election 2024: Date of voting, result, candidates list, main parties, schedule","India News: As the political landscape in Uttar Pradesh braces for another intense battle, all eyes are fixed on Saharanpur Lok Sabha constituency.",1
"Congress fields Abhay Patil from Akola LS seat; will take on BJP's Dhotre, VBA's Ambedkar",India News: AKOLA: The Congress on Monday announced the candidature of Dr Abhay Patil from Akola Lok Sabha seat in Maharashtra.,1
PM backs EB as key '1st step' towards probity,India News: NEW DELHI: PM Narendra Modi on Sunday justified his govt's decision to bring in electoral bonds and said they were an important first step in tackling.,1
"SC: Political reasons, AP CM's stature mustn't delay his trial",India News: VIJAYAWADA: The Supreme Court observed on Monday that the position of an individual as chief minister should not hinder the progress of criminal trial.,1
"BJP wasn't formed to make anyone PM or CM, hence never faced a split: Fadnavis",India News: NAGPUR: The Bharatiya Janata Party (BJP) was not established to make anyone the prime minister or the chief minister and hence never faced an internal.,1
Hema Malini eyes a third term in Parliament from Mathura,India News: MATHURA: Actor-turned-politician Hema Malini is fielded by Bharatiya Janata Party (BJP) for the third consecutive time from Mathura Lok Sabha seat.,1
Earthquake of magnitude 3.4 strikes Kargil,"India News: An earthquake of magnitude 3.4 struck the Kargil district of Ladakh on Saturday night, the National Centre for Seismology (NCS) said.",1
Lok Sabha polls in Nagaland: All you need to know,India News: NEW DELHI: The upcoming 2024 Lok Sabha Elections in Nagaland are set to kick off on April 19 during the initial phase of the general elections.,1
Sacked Cong leader Nirupam alleges Sanjay Raut kingpin of Khichdi scam; Shiv Sena (UBT) hit backs,"India News: NEW DELHI: Sacked Congress leader Sanjay Nirupam on Monday alleged that Shiv Sena (UBT) leader Sanjay Raut was the kingpin of ""Khichdi scam"" in which .",1
"Excise policy case: ED questions Arvind Kejriwal's PA, summons AAP MLA Durgesh Pathak",India News: NEW DELHI: Enforcement Directorate on Monday questioned Delhi CM Arvind Kejriwal's Personal Assistant Bibhav Kumar in connection with the money launde.,1
IIT-Guwahati student found dead in hostel,"India News: GUWAHATI: A second-semester student of IIT-Guwahati was found dead in his hotel room, police said on Friday.",1
Mirwaiz Umar Farooq appeals for release of political prisoners,India News: SRINAGAR: Kashmiri cleric Mirwaiz Umar Farooq on Friday appealed for the unconditional release of thousands of Kashmiri political prisoners and youth .,1
Coast Guard sailors held for minor's rape,India News: Two sailors of Indian Coast Guard were recently arrested for allegedly sexually assaulting a colleague's minor daughter in Mumbai.,1
3 Maoists killed in Chandigarh encounters,"India News: RAIPUR: Three Maoists, including a militia commander, were shot dead in two separate encounters with security forces in Bastar's Bijapur and Kanker di.",1
"Vedanta top Congress funder, at least 3 donors put in Rs 100 crore+","India News: MUMBAI: Congress received Rs 1,351 crore through electoral bonds from about 350 donors, showed the latest data shared by SBI to EC.",1
Maharashtra Congress wants 'friendly fights' in seats claimed by allies,India News: MUMBAI: The state Congress has asked its national leadership to allow it to put up friendly fights in five Lok Sabha constituencies claimed by its MVA.,0
Ex-DSP: Had to quit after recommending Pota against don,"India News: Former DSP (STF) Shailendra Singh, who recommended the Prevention of Terrorism Act (Pota) charges against Mukhtar Ansari, claims that he had to bear t.",1
Afspa extended in 4 Assam dists by 6 months,"India News: GUWAHATI: Assam govt has extended imposition of Armed Forces (Special Powers) Act (Afspa), 1958, in its four districts - Tinsukia, Dibrugarh, Charaide.",1
CJI: Was trolled for changing seating position during hearing,BENGALURU: Chief Justice of India DY Chandrachud on Saturday recalled a recent incident of him facing trolling and 'vicious abuse' for adjusting his s.,1
"BJP questions legitimacy of Kejriwal's directive; can govern from custody, say experts","India News: NEW DELHI: Amidst the ongoing controversy surrounding Delhi Chief Minister Arvind Kejriwal, currently under the Enforcement Directorate’s (ED) custody.",1
OPS opts for LS poll seeking an identity of his own,"India News: CHENNAI: With his legal options only strengthening his erstwhile colleague's case, former Tamil Nadu Chief Minister O Panneerselvam now banks heavily .",1
Gurdwara murder: Four detained for helping killers,India News: DEHRADUN: Special Investigation Team (SIT) formed to probe the murder of Nanakmatta Sahib gurdwara on Saturday detained 4 locals in Uttarakhand's Udha.,1
"Modi, Yogi to hold joint rally with Jayant on Sunday",India News: LUCKNOW: Prime Minister Narendra Modi will kick off BJP’s campaign for the Lok Sabha elections in UP from Meerut on Sunday.,1
"Kids are battling a not-good-enough syndrome, all they need is a patient ear: Kiran Bir Sethi",India News: Educationist Kiran Bir Sethi’s design-led approach to education at Ahmedabad’s Riverside School won the World’s Best School for Innovation award last .,1
